Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.00068303104,5.997586e-05,-0.00035372496,0.00028087044,0.7131507683091238,5,0.7389122890317856,0.7131507683091238,0.7022187790878367,0.013923122607172647,0.0022961890473868984,0.0014263015366182486,7.204621331647062e-05,0.0006117141290044876,5,2500,500,500.0,500,0.0,0.99941194,-0.003412275,-0.99956506,0.63062626,0.7242286361095489,5,0.8702329329060879,0.7242286361095489,0.6711851250983373,0.07470799927868126,0.00749551744929421,0.0014484572722190986,4.164466924408686e-05,0.0007392700991994931,12,5800,500,500.0,500,0.0,5800,0.011738993227481842,173.51696701114997,112.3300646012649,48.89701728802174,0.01055926363915205,12.260626673232764,0.006920423824340105,178.7339772018604,3.976793959736824e-05,1.0,-0.0,-7.0848484,-8.694073,-10.426901,0.70186555,-8.692476,10.457091,8.572296,7.1346493,0.7704454,0.0016239847,-0.00031797535,-0.0028650465,0.0008685556,9.832895e-05,-0.001497868,-0.004360784,0.0007363116,74.08328,74.103516,1000,0.0011703928,6.6167995e-05,-0.0007349866,0.00030611164,0.0016221949,0.0003560717,-0.0010199382,0.0006085093,1.0016235,1.0003564,0.9989806,0.00060867204
1,1,0.009593263,-0.003081663,-0.019958498,0.00928685,0.6915992861932874,5,0.6955415760073488,0.6915992861932874,0.6869923688254219,0.003341379917029763,0.0021841490894463586,0.0013831985723865747,5.9520734247284175e-05,0.0005988295741196713,10,5000,500,500.0,500,0.0,0.998523,-0.006042293,-0.99871653,0.59374636,1.506722146715992,5,3.741118010164952,1.506722146715992,0.6759475501012572,1.1874538331536835,0.1331049438773496,0.003013444293431984,6.785859451980127e-05,0.007599106851293794,17,8300,500,500.0,500,0.0,8300,0.0119175692088902,111.43587394943461,49.41938502015546,49.854060591198504,0.010656068101525307,12.13323861779645,0.006557168904691935,290.6150792562403,5.891406908631325e-05,0.7407471537590027,-6.54429817199707,-7.8098288,-8.807355,-9.586649,0.3678534,-36.644554,31.692644,30.285656,28.972212,0.5028379,31.268148,30.190456,28.26635,0.48831886,31.272335,30.180069,28.436848,0.46947628,0.11671418,0.12543374,2000,0.026906408,-0.0022882805,-0.025664583,0.009513692,-0.078826845,-0.11064093,-0.13629638,0.010226472,0.92419994,0.89530694,0.872584,0.009164586
2,2,0.015804095,0.0002539271,-0.009565032,0.006083605,0.6970808400167641,5,0.7132830147848542,0.6970808400167641,0.6894299998834412,0.008824134545294732,0.0022239707392963893,0.0013941616800335283,5.574105594882968e-05,0.0006039995204541917,15,7500,500,500.0,500,0.0,0.99913526,-0.0050888425,-0.99862903,0.59808105,1.0922873247763172,5,2.6414181874318516,1.0922873247763172,0.6951704811616659,0.7746006891646251,0.03702427537680632,0.002184574649552635,6.201338164971402e-05,0.0032639152796743957,22,10800,500,500.0,500,0.0,10800,0.01202856795862317,111.43904358660802,49.23618433717638,49.87161331623793,0.01147127477452159,12.297101145610213,0.01053935894742608,402.50674451701343,0.00010558590292930603,0.5487526655197144,-13.082545280456543,-7.9259014,-8.800341,-9.778759,0.41833702,-57.8625,55.161537,53.170994,50.655216,0.76854795,55.201653,53.09624,50.485615,0.7857438,55.051506,53.04538,50.362934,0.77344203,0.067474075,0.08165963,3000,0.025325557,0.00042055125,-0.023302395,0.007244793,-0.06849321,-0.10484739,-0.13621332,0.011363497,0.9337998,0.9005201,0.87265646,0.010238954
3,3,0.019464921,-0.0020118388,-0.01739543,0.009255448,0.7349270562297562,5,0.7539442604491546,0.7349270562297562,0.7087733265737275,0.015731214156179785,0.002364747454553334,0.001469854112459513,4.6668094036891834e-05,0.000650893539270589,20,10000,500,500.0,500,0.0,0.9988125,6.305448e-05,-0.9994865,0.59621936,1.4980848640830717,5,4.533638306301889,1.4980848640830717,0.6769909392238342,1.518322358110382,0.0997647771443235,0.002996169728166144,6.199788505452332e-05,0.0073023483619870525,27,13300,500,500.0,500,0.0,13300,0.011948829051107168,111.97809707792476,49.74356974288821,50.011188900098205,0.010668224655091763,12.194989385548979,0.005684135016053915,514.934928484261,4.786066710948944e-05,0.4065205156803131,-19.729780197143555,-7.9498205,-8.919035,-11.533788,0.40855125,-72.67046,70.97493,69.0779,65.6384,0.89277554,71.17118,69.07985,65.797844,0.8928425,71.14758,69.09303,65.72279,0.8775727,0.040331267,0.04026416,4000,0.05867178,-0.0021400156,-0.036424737,0.010911978,-0.07093392,-0.114306174,-0.13730381,0.011421979,0.93152344,0.8920432,0.87170535,0.010231976
4,4,0.016707968,0.003912348,-0.010265969,0.008400309,0.6858849847079473,5,0.6932832044209104,0.6858849847079473,0.6801832315522246,0.004630617595135819,0.0021663969499835464,0.001371769969415895,5.9771906385344655e-05,0.0005903784691983615,25,12500,500,500.0,500,0.0,0.99829495,-0.004592987,-0.9981549,0.5959179,1.2676798662212296,5,2.1637977238801067,1.2676798662212296,0.7926401474321363,0.5316571378219861,0.01821539983444263,0.002535359732442458,5.574726199001041e-05,0.002347851283154264,32,15800,500,500.0,500,0.0,15800,0.011958170682191849,113.07873564958572,50.40245051914826,50.462703024968505,0.010623579379171133,12.185366808436811,0.0055951569229364395,628.4647362572141,3.839004784822464e-05,0.30115818977355957,-26.238412857055664,-7.914631,-8.863165,-10.312242,0.40419516,-82.29951,81.59137,79.69879,76.50738,0.94705284,81.84275,79.67361,76.39514,0.96889657,81.791565,79.67645,76.45571,0.9572888,0.03162666,0.030169094,5000,0.08661429,0.004224956,-0.04650515,0.013084946,-0.076521166,-0.1129735,-0.13719694,0.013547278,0.9263333,0.8932564,0.8717985,0.012144977
5,5,0.043035895,0.0035254394,-0.033120364,0.014406181,0.6920993321260147,5,0.6972589235445158,0.6920993321260147,0.6888430066019218,0.0029289755076679475,0.0021669109666372305,0.0013841986642520304,6.980391239247704e-05,0.0005947553929166342,30,15000,500,500.0,500,0.0,0.9988817,-0.0016255085,-0.9985182,0.59556633,1.216800692985316,5,2.4295370795902045,1.216800692985316,0.6708097880171191,0.6854592208261869,0.03381486938953645,0.0024336013859706323,5.872955266342503e-05,0.0030345900945667587,37,18300,500,500.0,500,0.0,18300,0.011957733891904354,113.57978908112273,51.958218016661704,49.37870245985687,0.010878518223762512,12.213983641471714,0.006007587071508169,742.5022857282311,4.112394526600838e-05,0.22311146557331085,-32.854766845703125,-7.9546337,-8.901954,-10.513302,0.47492304,-88.00703,88.205284,85.971985,80.60161,1.3271457,88.016884,86.05589,80.83703,1.3193343,87.97366,86.05131,81.00482,1.3190373,0.034579784,0.032277912,6000,0.15570512,0.002944584,-0.08798207,0.021792194,-0.055494335,-0.11281439,-0.14827214,0.018133432,0.9460174,0.893464,0.86219645,0.016307756
6,6,0.066149294,0.0014557003,-0.05853688,0.023766354,0.6784161738487416,5,0.6808907423856974,0.6784161738487416,0.6765022475880126,0.0018248951651755403,0.002153244067356973,0.0013568323476974842,7.00084172174958e-05,0.000588778163338447,35,17500,500,500.0,500,0.0,0.99960554,0.005155603,-0.99924225,0.59410393,1.028115056331466,5,2.3853648166260095,1.028115056331466,0.6698690153867396,0.678806319770899,0.014027957991937675,0.002056230112662932,5.756505313864459e-05,0.002314723942836088,42,20800,500,500.0,500,0.0,20800,0.01189802074804902,113.2971292855218,51.8285434958525,49.299185721669346,0.010464939754456282,12.141231199726462,0.005767353810369968,856.2561685368419,3.8553960621356964e-05,0.16529184579849243,-39.40757369995117,-7.687442,-8.892577,-10.5737,0.49145874,-90.878174,91.46876,89.55492,86.37147,1.0015179,91.28939,89.45311,86.30345,0.9898008,91.31828,89.42293,86.14718,1.0095305,0.021967094,0.027900755,7000,0.17052186,0.0015279055,-0.15362927,0.031943224,-0.05403813,-0.11779015,-0.15633038,0.020386968,0.947396,0.8890682,0.8552766,0.018248776
7,7,0.05539328,0.0043822136,-0.05256966,0.018300151,0.6798426097006612,5,0.6819466967992215,0.6798426097006612,0.6772316024513311,0.0021160262406902134,0.0021542599722190964,0.001359685219401323,5.289051887874813e-05,0.0005926790859176209,40,20000,500,500.0,500,0.0,0.99868196,0.010430625,-0.99912024,0.59521437,2.6152550144662094,5,10.222367367089626,2.6152550144662094,0.6727433387126224,3.803762723212731,0.1855716600668344,0.005230510028932421,5.458546796708022e-05,0.014876830357071541,47,23300,500,500.0,500,0.0,23300,0.011937155853956938,114.698015590664,51.54989714268595,50.88637946732342,0.01056854473426938,12.23341641575098,0.005777761340141296,971.4139205976389,3.910297527909279e-05,0.1224622130393982,-45.905921936035156,-7.100768,-8.860456,-10.091882,0.5209991,-91.87999,93.5432,90.831764,86.887215,1.2979047,93.59045,90.85439,87.14522,1.2824509,93.504906,90.790955,87.30334,1.2761251,0.011455882,0.014500571,8000,0.31395808,0.006251055,-0.2464996,0.042733528,-0.022456579,-0.10692899,-0.14698553,0.02429908,0.9777937,0.8988574,0.86330646,0.02216835
8,8,0.07414983,0.0036075793,-0.054414846,0.024762616,0.6783818236797787,5,0.6819356051047475,0.6783818236797787,0.6742322994610196,0.0025952688568256256,0.0021530527915896106,0.001356763647359558,5.0314944220949915e-05,0.0005871727334187857,45,22500,500,500.0,500,0.0,0.9987559,0.0020800766,-0.9993727,0.59642,1.4588795297441532,5,3.520155570260033,1.4588795297441532,0.6827936789907693,1.0577355074591517,0.08759482322997357,0.002917759059488307,4.6309328710528164e-05,0.006000088654003555,52,25800,500,500.0,500,0.0,25800,0.012078240979462862,114.61966741783544,51.60089411213994,50.76451740413904,0.010682037100195885,12.225459304172546,0.005993924103677273,1086.4856941546313,4.2395200580358505e-05,0.09073678404092789,-52.43402862548828,-7.3366423,-8.849401,-10.44282,0.53269076,-91.437775,95.25438,90.65846,87.12118,1.0630267,95.20843,90.668,86.92586,1.0544196,95.128784,90.63992,86.65054,1.071819,0.012587415,0.015107143,9000,0.39045173,0.0075148973,-0.32119715,0.058357082,0.004248878,-0.108541176,-0.14766866,0.029559659,1.0042579,0.89753795,0.8627169,0.026945187
9,9,0.082726985,-9.345406e-06,-0.09116919,0.025729133,0.6856673029167253,5,0.694066800214072,0.6856673029167253,0.6791647437163066,0.004873394897526264,0.0021556159381103056,0.001371334605833451,5.186827489287168e-05,0.0005866669615958661,50,25000,500,500.0,500,0.0,0.9981157,-0.007831332,-0.997755,0.5950165,0.905400313375203,5,1.7886390253591662,0.905400313375203,0.6740990914063645,0.4416752422993133,0.05757465441163416,0.0018108006267504053,6.23147144826225e-05,0.0032088083266114463,57,28300,500,500.0,500,0.0,28300,0.011848281137645245,115.05020736483857,52.26732285413891,50.557270088698715,0.01112974714487791,12.196402861271054,0.006191950291395187,1201.9833852048032,4.158215597271919e-05,0.06723660230636597,-59.03327941894531,-7.1204815,-8.867924,-10.98196,0.6245792,-89.9744,93.54026,89.35805,86.319534,1.1134083,93.395164,89.39664,86.39197,1.108942,93.15907,89.38939,86.31037,1.1038228,0.010496439,0.012231149,10000,0.5127856,0.00097507087,-0.49629596,0.08104258,0.063458286,-0.10008368,-0.15076154,0.028322984,1.065515,0.9051285,0.86005276,0.026046265
